,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
461,2,8-May-19,ARH/M517/101,101,8-May-19,8-Apr-19,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41300,41300
462,3,9-May-19,ARH/M517/102,102,9-May-19,9-May-19,Tubuler Type Level Gauge,4,2900,11600,11600,1044,1044,2088,13827,13827
463,4,17-May-19,ARH/M517/103,103,17-May-19,25-Apr-19,By-Pass Level Indicator,2,3500,7000,7000,630,630,1260,8385,8385
464,5,17-May-19,ARH/M517/104,104,17-May-19,3-May-19,By-Pass Level Indicator,6,3500,21000,17850,1606.5,1606.5,3213,21188,21188
465,6,18-May-19,ARH/M517/105,105,18-May-19,27-Apr-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23725.08,23725
466,7,20-May-19,ARH/M517/106,106,20-May-19,27-Apr-19,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6983,6983
467,8,25-May-19,ARH/M517/107,107,24-May-19,29-Apr-19,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
468,9,25-May-19,ARH/M517/108,108,25-May-19,29-Apr-19,Tubuler Type Level Gauge,1,2900,2900,2755,247.95,247.95,495.9,3389.9,3389
469,10,26-May-19,ARH/M517/109,109,29-May-19,1-May-19,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3561,3561
470,11,26-May-19,ARH/M517/110,110,29-May-19,20-May-19,Tubuler Type Level Gauge,3,2900,8700,8700,783,783,1566,10405,10405
471,12,29-May-19,ARH/M517/111,111,29-May-19,3-May-19,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
472,1,1-Jun-19,ARH/J617/100,100,1-Jun-19,5-May-19,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
473,2,1-Jun-19,ARH/J617/101,101,1-Jun-19,6-May-19,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3561,3561
474,3,5-Jun-19,ARH/J617/102,102,5-Jun-19,6-May-19,Reflex Level Gauge,6,7200,43200,43200,3888,3888,7776,50976,50976
475,4,6-Jun-19,ARH/J617/103,103,6-Jun-19,8-May-19,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
476,5,6-Jun-19,ARH/J617/104,104,6-Jun-19,9-May-19,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100800,100800
477,6,7-Jun-19,ARH/J617/105,105,7-Jun-19,10-May-19,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
478,7,8-Jun-19,ARH/J617/106,106,8-Jun-19,11-May-19,Tubuler Type Level Gauge,1,2900,2900,2755,247.95,247.95,495.9,3250.9,3250
479,8,8-Jun-19,ARH/J617/107,107,9-Jun-19,12-May-19,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4255,4255
480,9,10-Jun-19,ARH/J617/108,108,10-Jun-19,12-May-19,Capicitance Type,1,35000,35000,31500,2835,2835,5670,37620,37620
481,10,15-Jun-19,ARH/J617/109,109,15-Jun-19,13-Jun-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
482,11,16-Jun-19,ARH/J617/110,110,16-Jun-19,13-May-19,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
483,12,16-Jun-19,ARH/J617/111,111,16-Jun-19,16-May-19,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
484,13,17-Jun-19,ARH/J617/112,112,16-Jun-19,17-May-19,By-Pass Level Indicator,1,3500,3500,3150,283.5,283.5,567,3842,3842
485,14,17-Jun-19,ARH/J617/113,113,20-Jun-19,19-May-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
486,15,20-Jun-19,ARH/J617/114,114,20-Jun-19,19-Jun-19,Tubuler Type Level Gauge,3,2900,8700,7395,665.55,665.55,1331.1,8865.1,8865
487,16,21-Jun-19,ARH/J617/115,115,21-Jun-19,20-May-19,Miniature Level Switch(SS),2,1502,3004,3004,270.36,270.36,540.72,3544.72,3544
488,17,22-Jun-19,ARH/J617/116,116,22-Jun-19,22-May-19,Miniature Level Switch(SS),2,1502,3004,3004,270.36,270.36,540.72,3544.72,3544
489,18,23-Jun-19,ARH/J617/117,117,23-Jun-19,22-May-19,Tubuler Type Level Gauge,6,2900,17400,17400,1566,1566,3132,20671,20671
490,19,24-Jun-19,ARH/J617/118,118,24-Jun-19,22-May-19,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
491,20,25-Jun-19,ARH/J617/119,119,25-Jun-19,24-May-19,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4255,4255
492,1,3-Jul-19,ARH/J717/100,100,3-Jul-19,2-Jun-19,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6844,6844
493,2,5-Jul-19,ARH/J717/101,101,5-Jul-19,5-Jun-19,Capicitance Type,3,35000,105000,105000,9450,9450,18900,124350,124350
494,3,5-Jul-19,ARH/J717/102,102,5-Jul-19,6-Jun-19,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
495,4,6-Jul-19,ARH/J717/103,103,6-Jul-19,6-Jun-19,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
496,5,7-Jul-19,ARH/J717/104,104,7-Jul-19,10-Jun-19,Float And Board Level Indicator,3,3520,10560,8976,807.84,807.84,1615.68,10616.68,10616
497,6,8-Jul-19,ARH/J717/105,105,8-Jul-19,13-Jun-19,Float And Board Level Indicator,1,3520,3520,3344,300.96,300.96,601.92,3970.92,3970
498,7,10-Jul-19,ARH/J717/106,106,10-Jul-19,13-Jun-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
499,8,10-Jul-19,ARH/J717/107,107,10-Jul-19,5-Jul-19,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
500,9,10-Jul-19,ARH/J717/108,108,10-Jul-19,15-Jun-19,Miniature Level Switch(SS),4,1502,6008,6008,540.72,540.72,1081.44,7089.44,7089
501,10,13-Jul-19,ARH/J717/109,109,13-Jul-19,15-Jun-19,Capicitance Type,1,35000,35000,33250,2992.5,2992.5,5985,39685,39685
502,11,16-Jul-19,ARH/J717/110,110,16-Jul-19,21-Jun-19,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
503,12,17-Jul-19,ARH/J717/111,111,17-Jul-19,22-Jun-19,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
504,13,17-Jul-19,ARH/J717/112,112,17-Jul-19,23-Jun-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
505,14,17-Jul-19,ARH/J717/113,113,17-Jul-19,29-Jun-19,Float And Board Level Indicator,6,3520,21120,21120,1900.8,1900.8,3801.6,24946.6,24946
506,15,17-Jul-19,ARH/J717/114,114,17-Jul-19,5-Jul-19,Capicitance Type,2,35000,70000,70000,6300,6300,12600,83050,83050
507,16,20-Jul-19,ARH/J717/115,115,20-Jul-19,16-Jul-19,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
508,17,25-Jul-19,ARH/J717/116,116,25-Jul-19,10-Jul-19,Capicitance Type,1,35000,35000,31500,2835,2835,5670,37620,37620
509,1,1-Aug-19,ARH/A817/100,100,1-Aug-19,16-Jul-19,By-Pass Level Indicator,3,3500,10500,9450,850.5,850.5,1701,11151,11151
510,2,2-Aug-19,ARH/A817/101,101,2-Aug-19,16-Jul-19,Magnetic Float Level Switch,3,12300,36900,36900,3321,3321,6642,43792,43792
511,3,3-Aug-19,ARH/A817/102,102,3-Aug-19,16-Jul-19,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6844,6844
512,4,4-Aug-19,ARH/A817/103,103,4-Aug-19,20-Jul-19,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
513,5,5-Aug-19,ARH/A817/104,104,5-Aug-19,21-Jul-19,Conductivity Float Level Switch,4,11700,46800,46800,4212,4212,8424,55224,55224
514,6,5-Aug-19,ARH/A817/105,105,5-Aug-19,21-Jul-19,Magnetic Float Level Switch,3,12300,36900,35055,3154.95,3154.95,6309.9,41614.9,41614
515,7,5-Aug-19,ARH/A817/106,106,5-Aug-19,1-Aug-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
516,8,8-Aug-19,ARH/A817/107,107,8-Aug-19,22-Jul-19,Conductivity Float Level Switch,4,11700,46800,42120,3790.8,3790.8,7581.6,49701.6,49701
517,9,14-Aug-19,ARH/A817/108,108,14-Aug-19,23-Jul-19,Conductivity Float Level Switch,3,11700,35100,35100,3159,3159,6318,41418,41418
518,10,15-Aug-19,ARH/A817/109,109,15-Aug-19,25-Jul-19,Capicitance Type,1,35000,35000,31500,2835,2835,5670,37620,37620
519,11,19-Aug-19,ARH/A817/110,110,19-Aug-19,12-Aug-19,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
520,12,21-Aug-19,ARH/A817/111,111,21-Aug-19,25-Jul-19,Conductivity Float Level Switch,5,11700,58500,58500,5265,5265,10530,69030,69030
521,13,22-Aug-19,ARH/A817/112,112,22-Aug-19,20-Jul-19,Magnetic Float Level Switch,3,12300,36900,35055,3154.95,3154.95,6309.9,41614.9,41614
522,14,24-Aug-19,ARH/A817/113,113,24-Aug-19,30-Jul-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
523,15,8-Aug-19,ARH/A817/107,114,8-Aug-19,22-Jul-19,Conductivity Float Level Switch,1,11700,11700,10530,947.7,947.7,1895.4,12425.4,12425
524,16,5-Aug-19,ARH/A817/106,115,5-Aug-19,1-Aug-19,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
525,1,6-Sep-19,ARH/S917/100,100,6-Sep-19,1-Sep-19,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
526,2,13-Sep-19,ARH/S917/101,101,13-Sep-19,5-Aug-19,Conductivity Level Switch,2,4250,8500,8500,765,765,1530,10030,10030
527,3,19-Sep-19,ARH/S917/102,102,19-Sep-19,2-Sep-19,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41300,41300
528,4,20-Sep-19,ARH/S917/103,103,20-Sep-19,3-Sep-19,Tubuler Type Level Gauge,4,2900,11600,11600,1044,1044,2088,13688,13688
529,5,28-Sep-19,ARH/S917/104,104,28-Sep-19,20-Aug-19,Cable Float Level Switch,3,10053,30159,30159,2714.31,2714.31,5428.62,35587.62,35587
530,1,14-Oct-19,ARH/O1017/100,100,14-Oct-19,12-Oct-19,Capicitance Type,3,35000,105000,105000,9450,9450,18900,123900,123900
531,2,14-Oct-19,ARH/O1017/101,101,14-Oct-19,12-Oct-19,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6844,6844
532,1,6-Nov-19,ARH/N1117/100,100,6-Nov-19,,Capicitance Type,2,35000,70000,70000,6300,6300,12600,82600,82600
533,2,10-Nov-19,ARH/N1117/101,101,10-Nov-19,5-Oct-19,Capicitance Type,3,35000,105000,105000,9450,9450,18900,124450,124450
534,3,11-Nov-19,ARH/N1117/102,102,11-Nov-19,,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23975.08,23975
535,4,11-Nov-19,ARH/N1117/103,103,11-Nov-19,7-Oct-19,Float And Board Level Indicator,4,3520,14080,14080,1267.2,1267.2,2534.4,16639.4,16639
536,5,13-Nov-19,ARH/N1117/104,104,13-Nov-19,8-Oct-19,By-Pass Level Indicator,4,3500,14000,13300,1197,1197,2394,15694,15694
537,6,14-Nov-19,ARH/N1117/105,105,14-Nov-19,9-Oct-19,Float And Board Level Indicator,3,3520,10560,10560,950.4,950.4,1900.8,12485.8,12485
538,7,25-Nov-19,ARH/N1117/107,107,25-Nov-19,11-Oct-19,Conductivity Level Switch,2,4250,8500,8500,765,765,1530,10090,10090
539,8,25-Nov-19,ARH/N1117/108,108,25-Nov-19,,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4153.6,4153
540,9,25-Nov-19,ARH/N1117/109,109,25-Nov-19,13-Oct-19,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
541,1,4-Dec-19,ARH/D1217/100,100,4-Dec-19,7-Nov-19,Conductivity Float Level Switch,4,11700,46800,42120,3790.8,3790.8,7581.6,49701.6,49701
542,2,5-Dec-19,ARH/D1217/101,101,5-Dec-19,6-Aug-19,Magnetic Float Level Switch,3,12300,36900,36900,3321,3321,6642,44092,44092
543,3,6-Dec-19,ARH/D1217/102,102,5-Dec-19,9-Nov-19,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
544,4,6-Dec-19,ARH/D1217/103,103,5-Dec-19,10-Nov-19,Tubuler Type Level Gauge,3,2900,8700,8265,743.85,743.85,1487.7,9752.7,9752
545,5,8-Dec-19,ARH/D1217/104,104,8-Dec-19,11-Nov-19,Conductivity Float Level Switch,4,11700,46800,46800,4212,4212,8424,55224,55224
546,6,9-Dec-19,ARH/D1217/105,105,9-Dec-19,12-Nov-19,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
547,7,13-Dec-19,ARH/D1217/106,106,12-Dec-19,13-Nov-19,Conductivity Float Level Switch,4,11700,46800,46800,4212,4212,8424,55224,55224
548,8,13-Dec-19,ARH/D1217/108,108,12-Dec-19,15-Nov-19,Conductivity Float Level Switch,4,11700,46800,46800,4212,4212,8424,55224,55224
549,9,13-Dec-19,ARH/D1217/109,109,12-Dec-19,16-Nov-19,Magnetic Float Level Switch,3,12300,36900,35055,3154.95,3154.95,6309.9,41664.9,41664
550,10,14-Dec-19,ARH/D1217/110,110,14-Dec-19,16-Nov-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,24175.08,24175
551,11,14-Dec-19,ARH/D1217/111,111,15-Dec-19,18-Nov-19,Level Transmitter for Magnetic Level  Gauge,1,7200,7200,7200,648,648,1296,8496,8496
552,12,16-Dec-19,ARH/D1217/112,112,16-Dec-19,19-Nov-19,Conductivity Float Level Switch,6,11700,70200,70200,6318,6318,12636,82836,82836
553,13,18-Dec-19,ARH/D1217/113,113,17-Dec-19,15-Dec-19,Miniature Level Switch(SS),2,1502,3004,2553.4,229.806,229.806,459.612,3013.012,3013
554,14,18-Dec-19,ARH/D1217/114,114,18-Dec-19,21-Nov-19,Capicitance Type,2,35000,70000,63000,5670,5670,11340,74540,74540
555,15,18-Dec-19,ARH/D1217/115,115,18-Dec-19,21-Nov-19,Magnetic Float Level Switch,3,12300,36900,36900,3321,3321,6642,43742,43742
556,16,18-Dec-19,ARH/D1217/116,116,20-Dec-19,23-Nov-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
557,17,21-Dec-19,ARH/D1217/117,117,21-Dec-19,24-Nov-19,Magnetic Float Level Switch,3,12300,36900,36900,3321,3321,6642,43992,43992
558,18,22-Dec-19,ARH/D1217/118,118,22-Dec-19,20-Dec-19,Magnetic Float Level Switch,4,12300,49200,49200,4428,4428,8856,58606,58606
559,19,24-Dec-19,ARH/D1217/120,120,25-Dec-19,27-Nov-19,Miniature Level Switch(SS),2,1502,3004,3004,270.36,270.36,540.72,3544.72,3544
560,20,24-Dec-19,ARH/D1217/121,121,25-Dec-19,27-Nov-19,Magnetic Float Level Switch,4,12300,49200,46740,4206.6,4206.6,8413.2,55453.2,55453
561,21,25-Dec-19,ARH/D1217/122,122,25-Dec-19,29-Nov-19,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
562,22,28-Dec-19,ARH/D1217/124,124,28-Dec-19,1-Dec-19,Conductivity Float Level Switch,4,11700,46800,42120,3790.8,3790.8,7581.6,49701.6,49701
