,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
204,28,13-Feb-18,ARH/F218/110,110,13-Feb-18,13-Jan-18,Magnetic Float Level Switch,3,12300,36900,36900,3321,3321,6642,43892,43892
205,29,14-Feb-18,ARH/F218/111,111,14-Feb-18,14-Jan-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
206,30,15-Feb-18,ARH/F218/112,112,15-Feb-18,15-Jan-18,Conductivity Float Level Switch,2,11700,23400,23400,2106,2106,4212,27962,27962
207,31,16-Feb-18,ARH/F218/113,113,16-Feb-18,16-Jan-18,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
208,32,17-Feb-18,ARH/F218/114,114,17-Feb-18,17-Jan-18,Capicitance Type,1,35000,35000,33250,2992.5,2992.5,5985,39685,39685
209,33,19-Feb-18,ARH/F218/115,115,19-Feb-18,12-Feb-18,Magnetic Float Level Switch,3,12300,36900,35055,3154.95,3154.95,6309.9,41714.9,41714
210,34,20-Feb-18,ARH/F218/116,116,20-Feb-18,19-Jan-18,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
211,35,21-Feb-18,ARH/F218/117,117,21-Feb-18,20-Jan-18,Conductivity Float Level Switch,4,11700,46800,46800,4212,4212,8424,55574,55574
212,36,22-Feb-18,ARH/F218/118,118,22-Feb-18,17-Jan-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
213,37,23-Feb-18,ARH/F218/119,119,23-Feb-18,22-Jan-18,Magnetic Float Level Switch,2,12300,24600,24600,2214,2214,4428,29378,29378
214,38,27-Feb-18,ARH/F218/120,120,27-Feb-18,28-Jan-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
215,39,2-Mar-18,ARH/M318/100,100,2-Mar-18,10-Feb-18,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
216,40,3-Mar-18,ARH/M318/101,101,3-Mar-18,11-Feb-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
